,Country Name,Country Code,Year,Population_male,Population_female,Population_total
1594,Upper middle income,UMC,2005,1242885197,1232318961,2475204158
1595,World,WLD,2005,3295335349,3257365112,6552700448
1596,Afghanistan,AFG,2006,12828447,12614497,25442944
1597,Albania,ALB,2006,1490629,1501918,2992547
1598,Algeria,DZA,2006,17050923,16384158,33435080
1599,American Samoa,ASM,2006,28793,28044,56837
1600,Andorra,AND,2006,41829,38392,80221
1601,Angola,AGO,2006,9917959,10244381,20162340
1602,Antigua and Barbuda,ATG,2006,38181,42715,80895
1603,Argentina,ARG,2006,19484104,19992747,39476851
1604,Armenia,ARM,2006,1410916,1615571,3026486
1605,Aruba,ABW,2006,45591,50016,95606
1606,Australia,AUS,2006,10158068,10292899,20450966
1607,Austria,AUT,2006,4022191,4246451,8268641
1608,Azerbaijan,AZE,2006,4124857,4359694,8484550
1609,"Bahamas, The",BHS,2006,171363,181302,352664
1610,Bahrain,BHR,2006,591506,379474,970981
1611,Bangladesh,BGD,2006,72029553,70599279,142628831
1612,Barbados,BRB,2006,129191,141234,270425
1613,Belarus,BLR,2006,4459004,5145919,9604924
1614,Belgium,BEL,2006,5163364,5384595,10547958
1615,Belize,BLZ,2006,144981,143749,288729
1616,Benin,BEN,2006,4177609,4225023,8402631
1617,Bermuda,BMU,2006,31408,33115,64523
1618,Bhutan,BTN,2006,358990,314269,673260
1619,Bolivia,BOL,2006,4814077,4728586,9542663
1620,Bosnia and Herzegovina,BIH,2006,1979755,2078331,4058086
1621,Botswana,BWA,2006,942814,985889,1928704
1622,Brazil,BRA,2006,93237364,95583318,188820682
1623,British Virgin Islands,VGB,2006,12133,12190,24323
1624,Brunei Darussalam,BRN,2006,194829,177979,372808
1625,Bulgaria,BGR,2006,3665020,3936002,7601022
1626,Burkina Faso,BFA,2006,7101155,7215087,14316242
1627,Burundi,BDI,2006,3779881,3878308,7658190
1628,Cabo Verde,CPV,2006,246494,252389,498884
1629,Cambodia,KHM,2006,6653611,6824167,13477779
1630,Cameroon,CMR,2006,8822729,8928603,17751333
1631,Canada,CAN,2006,16144134,16427039,32571174
1632,Cayman Islands,CYM,2006,23777,24400,48177
1633,Central African Republic,CAF,2006,2155709,2138644,4294352
1634,Chad,TCD,2006,5182293,5183320,10365614
1635,Channel Islands,CHI,2006,74161,77824,151985
1636,Chile,CHL,2006,8107283,8227292,16334575
1637,China,CHN,2006,670816557,640203444,1311020000
1638,Colombia,COL,2006,21186610,21586300,42772910
1639,Comoros,COM,2006,301235,303423,604658
1640,"Congo, Dem. Rep.",COD,2006,28890555,29491075,58381630
1641,"Congo, Rep.",COG,2006,1895843,1917479,3813323
1642,Costa Rica,CRI,2006,2200829,2177342,4378172
1643,Cote d'Ivoire,CIV,2006,9803630,9590427,19394057
1644,Croatia,HRV,2006,2069605,2241554,4311159
1645,Cuba,CUB,2006,5630144,5630486,11260630
1646,Curacao,CUW,2006,65110,76129,141239
1647,Cyprus,CYP,2006,530622,524816,1055438
1648,Czechia,CZE,2006,5007301,5231604,10238905
1649,Denmark,DNK,2006,2692287,2744985,5437272
1650,Djibouti,DJI,2006,421567,425380,846947
1651,Dominica,DMA,2006,34590,34152,68742
1652,Dominican Republic,DOM,2006,4706176,4577992,9284168
1653,Ecuador,ECU,2006,7012450,6996611,14009061
1654,"Egypt, Arab Rep.",EGY,2006,40852875,39776795,80629670
1655,El Salvador,SLV,2006,2887716,3146720,6034436
1656,Equatorial Guinea,GNQ,2006,467474,437943,905418
1657,Eritrea,ERI,2006,1412834,1467258,2880093
1658,Estonia,EST,2006,626127,720684,1346810
1659,Eswatini,SWZ,2006,518532,559202,1077735
1660,Ethiopia,ETH,2006,40093124,39597926,79691050
1661,Faroe Islands,FRO,2006,25096,23217,48313
1662,Fiji,FJI,2006,450318,432765,883083
1663,Finland,FIN,2006,2578051,2688216,5266268
1664,France,FRA,2006,30825573,32802688,63628261
1665,French Polynesia,PYF,2006,141296,133606,274901
1666,Gabon,GAB,2006,753766,748769,1502534
1667,"Gambia, The",GMB,2006,844305,866989,1711294
1668,Georgia,GEO,2006,1811111,2069236,3880347
1669,Germany,DEU,2006,40131513,42244938,82376451
1670,Ghana,GHA,2006,11494181,11604406,23098586
1671,Gibraltar,GIB,2006,14749,14838,29587
1672,Greece,GRC,2006,5472470,5547892,11020362
1673,Greenland,GRL,2006,30212,26562,56774
1674,Grenada,GRD,2006,55973,55015,110988
1675,Guam,GUM,2006,83629,81046,164675
1676,Guatemala,GTM,2006,6556342,6656988,13213330
1677,Guinea,GIN,2006,4570372,4760253,9330625
1678,Guinea-Bissau,GNB,2006,691579,722513,1414091
1679,Guyana,GUY,2006,378137,380230,758367
1680,Haiti,HTI,2006,4603020,4663269,9266288
1681,Honduras,HND,2006,3916738,3828462,7745200
1682,"Hong Kong SAR, China",HKG,2006,3283026,3574074,6857100
1683,Hungary,HUN,2006,4782418,5288952,10071370
1684,Iceland,ISL,2006,153876,149906,303782
1685,India,IND,2006,606611392,565762395,1172373788
1686,Indonesia,IDN,2006,116685330,115112096,231797427
1687,"Iran, Islamic Rep.",IRN,2006,36210381,35065378,71275760
1688,Iraq,IRQ,2006,14384444,14521163,28905607
1689,Ireland,IRL,2006,2137329,2136262,4273591
1690,Isle of Man,IMN,2006,39629,40599,80228
1691,Israel,ISR,2006,3484797,3568903,7053700
1692,Italy,ITA,2006,28171789,29972190,58143979
1693,Jamaica,JAM,2006,1332880,1356781,2689660
1694,Japan,JPN,2006,62402271,65451729,127854000
1695,Jordan,JOR,2006,3131561,2943988,6075548
1696,Kazakhstan,KAZ,2006,7273015,8035070,15308085
1697,Kenya,KEN,2006,18346035,18579218,36925253
1698,Kiribati,KIR,2006,49037,51046,100083
1699,"Korea, Dem. People's Rep.",PRK,2006,11832469,12403291,24235761
1700,"Korea, Rep.",KOR,2006,24209494,24228799,48438292
1701,Kosovo,XKX,2006,870793,848743,1719536
1702,Kuwait,KWT,2006,1385007,978402,2363409
1703,Kyrgyz Republic,KGZ,2006,2546899,2671501,5218400
1704,Lao PDR,LAO,2006,2985964,2960629,5946593
1705,Latvia,LVA,2006,1010084,1208273,2218357
1706,Lebanon,LBN,2006,2339292,2380573,4719864
1707,Lesotho,LSO,2006,966460,1010320,1976780
1708,Liberia,LBR,2006,1704671,1750726,3455397
1709,Libya,LBY,2006,3032912,2940457,5973369
1710,Liechtenstein,LIE,2006,17197,17693,34889
1711,Lithuania,LTU,2006,1506004,1763904,3269909
1712,Luxembourg,LUX,2006,234135,238501,472637
1713,"Macao SAR, China",MAC,2006,240698,261164,501863
1714,Madagascar,MDG,2006,9720478,9629821,19350299
1715,Malawi,MWI,2006,6340083,6778224,13118307
1716,Malaysia,MYS,2006,13592989,12916424,26509413
1717,Maldives,MDV,2006,163497,150904,314401
1718,Mali,MLI,2006,6880921,6742621,13623541
1719,Malta,MLT,2006,201030,204278,405308
1720,Marshall Islands,MHL,2006,27769,26439,54208
1721,Mauritania,MRT,2006,1528137,1553092,3081229
1722,Mauritius,MUS,2006,614420,619575,1233996
1723,Mexico,MEX,2006,52329698,54557092,106886790
1724,"Micronesia, Fed. Sts.",FSM,2006,55656,54645,110301
1725,Moldova,MDA,2006,1365441,1515526,2880967
1726,Monaco,MCO,2006,15604,16407,32011
1727,Mongolia,MNG,2006,1284280,1296962,2581242
1728,Montenegro,MNE,2006,298577,316447,615025
1729,Morocco,MAR,2006,15447447,15385576,30833022
1730,Mozambique,MOZ,2006,10094544,10641439,20735982
1731,Myanmar,MMR,2006,24004090,24084184,48088274
1732,Namibia,NAM,2006,962619,1023939,1986558
1733,Nauru,NRU,2006,5272,5022,10294
1734,Nepal,NPL,2006,13165531,13353440,26518971
1735,Netherlands,NLD,2006,8089121,8256980,16346101
1736,New Caledonia,NCL,2006,119089,116661,235750
1737,New Zealand,NZL,2006,2048505,2136095,4184600
1738,Nicaragua,NIC,2006,2724497,2805314,5529811
1739,Niger,NER,2006,7261337,7103832,14365168
1740,Nigeria,NGA,2006,72611203,71718561,144329764
1741,North Macedonia,MKD,2006,1020570,1019659,2040228
1742,Northern Mariana Islands,MNP,2006,32859,33200,66060
1743,Norway,NOR,2006,2313871,2346806,4660677
1744,Oman,OMN,2006,1465443,1095207,2560649
1745,Pakistan,PAK,2006,91810143,86259841,178069984
1746,Palau,PLW,2006,10523,9095,19619
1747,Panama,PAN,2006,1690750,1677823,3368573
1748,Papua New Guinea,PNG,2006,3495994,3212224,6708217
1749,Paraguay,PRY,2006,2790367,2744307,5534675
1750,Peru,PER,2006,14180761,14200318,28381078
1751,Philippines,PHL,2006,44491550,43410285,87901835
1752,Poland,POL,2006,18497199,19644068,38141267
1753,Portugal,PRT,2006,5056828,5465459,10522288
1754,Puerto Rico,PRI,2006,1827182,1978032,3805214
1755,Qatar,QAT,2006,727596,287464,1015060
1756,Romania,ROU,2006,10264061,10929699,21193760
1757,Russian Federation,RUS,2006,66219710,76829928,143049637
1758,Rwanda,RWA,2006,4467349,4802717,9270066
1759,Samoa,WSM,2006,97754,91624,189379
1760,San Marino,SMR,2006,14694,15264,29959
1761,Sao Tome and Principe,STP,2006,82666,83058,165725
1762,Saudi Arabia,SAU,2006,14481085,10901784,25382870
1763,Senegal,SEN,2006,5542900,5720487,11263387
1764,Serbia,SRB,2006,3570629,3840939,7411569
1765,Seychelles,SYC,2006,43110,41489,84600
1766,Sierra Leone,SLE,2006,2895765,2914008,5809774
1767,Singapore,SGP,2006,2235301,2166064,4401365
1768,Sint Maarten (Dutch part),SXM,2006,16068,17373,33441
1769,Slovak Republic,SVK,2006,2611614,2761440,5373054
1770,Slovenia,SVN,2006,984336,1022532,2006868
1771,Solomon Islands,SLB,2006,253589,239841,493430
1772,Somalia,SOM,2006,5400747,5384226,10784973
1773,South Africa,ZAF,2006,23696246,25795511,49491756
1774,South Sudan,SSD,2006,3937316,4092201,8029517
1775,Spain,ESP,2006,21909832,22487488,44397319
1776,Sri Lanka,LKA,2006,9764340,10106367,19870706
1777,St. Kitts and Nevis,KNA,2006,23180,23695,46874
1778,St. Lucia,LCA,2006,82684,83785,166470
1779,St. Martin (French part),MAF,2006,16358,17825,34183
1780,St. Vincent and the Grenadines,VCT,2006,56962,54464,111427
1781,Sudan,SDN,2006,15199862,15133106,30332968
1782,Suriname,SUR,2006,263086,258937,522023
1783,Sweden,SWE,2006,4505908,4574597,9080505
1784,Switzerland,CHE,2006,3667699,3816235,7483934
1785,Syrian Arab Republic,SYR,2006,9818867,9613142,19432009
1786,Tajikistan,TJK,2006,3498489,3558928,7057417
1787,Tanzania,TZA,2006,20010132,20551919,40562052
1788,Thailand,THA,2006,32612264,33707262,66319525
1789,Timor-Leste,TLS,2006,509709,484856,994564
1790,Togo,TGO,2006,2934396,2939845,5874240
1791,Tonga,TON,2006,53893,52297,106190
1792,Trinidad and Tobago,TTO,2006,680461,696458,1376919
1793,Tunisia,TUN,2006,5229676,5253882,10483558
1794,Turkiye,TUR,2006,34974838,34626495,69601333
1795,Turkmenistan,TKM,2006,2442930,2511099,4954029
1796,Turks and Caicos Islands,TCA,2006,12812,12316,25128
1797,Tuvalu,TUV,2006,5066,4965,10030
1798,Uganda,UGA,2006,14125371,14647855,28773227
1799,Ukraine,UKR,2006,21582931,25204855,46787786
1800,United Arab Emirates,ARE,2006,3428088,1470867,4898954
1801,United Kingdom,GBR,2006,29773916,31072904,60846820
1802,United States,USA,2006,146996229,151383683,298379912
1803,Uruguay,URY,2006,1601733,1720550,3322282
1804,Uzbekistan,UZB,2006,13224211,13264039,26488250
1805,Vanuatu,VUT,2006,112974,109949,222923
1806,"Venezuela, RB",VEN,2006,13550091,13551989,27102081
1807,Viet Nam,VNM,2006,41252012,42699789,83951800
1808,Virgin Islands (U.S.),VIR,2006,51877,56492,108369
1809,West Bank and Gaza,PSE,2006,1702599,1703735,3406334
1810,"Yemen, Rep.",YEM,2006,11101550,10864747,21966298
1811,Zambia,ZMB,2006,5827393,6144175,11971567
1812,Zimbabwe,ZWE,2006,5818877,6511613,12330490
1813,Africa Eastern and Southern,AFE,2006,231510642,237997868,469508516
1814,Africa Western and Central,AFW,2006,159566469,159035017,318601484
1815,Arab World,ARB,2006,169022419,159680641,328703057
1816,Caribbean small states,CSS,2006,3391669,3452517,6844183
1817,Central Europe and the Baltics,CEB,2006,51023769,54748712,105772481
1818,Early-demographic dividend,EAR,2006,1410770928,1358650217,2769421149
1819,East Asia & Pacific,EAS,2006,1088047263,1060358562,2148405823
1820,East Asia & Pacific (excluding high income),EAP,2006,971333398,940388279,1911721676
1821,East Asia & Pacific (IDA & IBRD countries),TEA,2006,959506201,927990010,1887496209
1822,Euro area,EMU,2006,161262013,169677587,330939600
1823,Europe & Central Asia,ECS,2006,422892620,452735315,875627934
1824,Europe & Central Asia (excluding high income),ECA,2006,177830325,194949900,372780224
1825,Europe & Central Asia (IDA & IBRD countries),TEC,2006,208661190,227765221,436426410
1826,European Union,EUU,2006,212745812,224269048,437014860
1827,Fragile and conflict affected situations,FCS,2006,351830266,355319663,707149927
1828,Heavily indebted poor countries (HIPC),HPC,2006,280498702,283432243,563930944
1829,High income,HIC,2006,565646780,579863475,1145510251
1830,IBRD only,IBD,2006,2150298538,2102301762,4252600296
1831,IDA & IBRD total,IBT,2006,2795669611,2744057348,5539726956
1832,IDA blend,IDB,2006,217461765,211789004,429250772
1833,IDA only,IDX,2006,427909308,429966582,857875888
1834,IDA total,IDA,2006,645371073,641755586,1287126660
1835,Late-demographic dividend,LTE,2006,1070748373,1057771630,2128519993
1836,Latin America & Caribbean,LCN,2006,278673327,284750796,563424119
1837,Latin America & Caribbean (excluding high income),LAC,2006,250232049,255862735,506094784
1838,Latin America & the Caribbean (IDA & IBRD countries),TLA,2006,270671721,276553001,547224720
1839,Least developed countries: UN classification,LDC,2006,383008862,385202441,768211301
1840,Low & middle income,LMY,2006,2757885760,2704612276,5462498035
1841,Low income,LIC,2006,226695608,228617418,455313027
1842,Lower middle income,LMC,2006,1279063140,1234514505,2513577643
1843,Middle East & North Africa,MEA,2006,186488646,176145353,362633997
1844,Middle East & North Africa (excluding high income),MNA,2006,160724094,157258974,317983066
1845,Middle East & North Africa (IDA & IBRD countries),TMN,2006,159021495,155555239,314576732
1846,Middle income,MIC,2006,2531190152,2475994858,5007185008
1847,North America,NAC,2006,163171771,167843837,331015609
1848,Not classified,INX,2006,..,..,..
1849,OECD members,OED,2006,616167592,638482218,1254649810
1850,Other small states,OSS,2006,12228094,11807219,24035320
1851,Pacific island small states,PSS,2006,1121851,1077688,2199540
1852,Post-demographic dividend,PST,2006,514361194,537744837,1052106032
1853,Pre-demographic dividend,PRE,2006,328099053,331016598,659115651
1854,Small states,SST,2006,16741614,16337424,33079043
1855,South Asia,SAS,2006,806731893,759160992,1565892885
1856,South Asia (IDA & IBRD),TSA,2006,806731893,759160992,1565892885
1857,Sub-Saharan Africa,SSF,2006,391077111,397032885,788110000
1858,Sub-Saharan Africa (excluding high income),SSA,2006,391034001,396991396,788025400
1859,Sub-Saharan Africa (IDA & IBRD countries),TSS,2006,391077111,397032885,788110000
1860,Upper middle income,UMC,2006,1252127012,1241480353,2493607365
1861,World,WLD,2006,3337082631,3298027740,6635110367
1862,Afghanistan,AFG,2007,13067961,12835340,25903301
1863,Albania,ALB,2007,1481621,1488396,2970017
1864,Algeria,DZA,2007,17330466,16653361,33983827
1865,American Samoa,ASM,2007,28541,27842,56383
1866,Andorra,AND,2007,40535,37633,78168
1867,Angola,AGO,2007,10289510,10620174,20909684
1868,Antigua and Barbuda,ATG,2007,38745,43270,82016
1869,Argentina,ARG,2007,19685381,20190731,39876111
1870,Armenia,ARM,2007,1396993,1607400,3004393
1871,Aruba,ABW,2007,46151,50636,96787
1872,Australia,AUS,2007,10352205,10475417,20827622
1873,Austria,AUT,2007,4036230,4259257,8295487
1874,Azerbaijan,AZE,2007,4182354,4398946,8581300
1875,"Bahamas, The",BHS,2007,173576,184090,357666
1876,Bahrain,BHR,2007,638061,402471,1040532
1877,Bangladesh,BGD,2007,72599534,71536401,144135934
1878,Barbados,BRB,2007,129595,141849,271444
1879,Belarus,BLR,2007,4436621,5124332,9560953
1880,Belgium,BEL,2007,5202866,5422833,10625700
1881,Belize,BLZ,2007,149054,148119,297173
1882,Benin,BEN,2007,4302650,4345111,8647761
1883,Bermuda,BMU,2007,31567,33320,64888
1884,Bhutan,BTN,2007,363234,318380,681614
1885,Bolivia,BOL,2007,4897753,4813399,9711152
1886,Bosnia and Herzegovina,BIH,2007,1955141,2052735,4007876
1887,Botswana,BWA,2007,962918,1004059,1966977
1888,Brazil,BRA,2007,94163019,96616434,190779453
1889,British Virgin Islands,VGB,2007,12512,12679,25191
1890,Brunei Darussalam,BRN,2007,197694,181055,378748
1891,Bulgaria,BGR,2007,3640438,3904900,7545338
1892,Burkina Faso,BFA,2007,7323354,7433720,14757074
1893,Burundi,BDI,2007,3923619,4020991,7944609
1894,Cabo Verde,CPV,2007,249996,254737,504733
1895,Cambodia,KHM,2007,6775426,6939365,13714791
1896,Cameroon,CMR,2007,9073988,9177878,18251866
1897,Canada,CAN,2007,16300676,16588348,32889025
1898,Cayman Islands,CYM,2007,24523,25123,49647
1899,Central African Republic,CAF,2007,2196084,2179485,4375569
1900,Chad,TCD,2007,5363575,5359155,10722731
1901,Channel Islands,CHI,2007,74823,78402,153225
1902,Chile,CHL,2007,8186994,8308544,16495538
1903,China,CHN,2007,674398683,643486317,1317885000
1904,Colombia,COL,2007,21442913,21863668,43306582
1905,Comoros,COM,2007,307665,309235,616899
1906,"Congo, Dem. Rep.",COD,2007,29842791,30446631,60289422
1907,"Congo, Rep.",COG,2007,1968249,1988080,3956329
1908,Costa Rica,CRI,2007,2231315,2208704,4440019
1909,Cote d'Ivoire,CIV,2007,10028098,9789603,19817700
1910,Croatia,HRV,2007,2070255,2239962,4310217
1911,Cuba,CUB,2007,5632650,5637238,11269887
1912,Curacao,CUW,2007,66309,77748,144056
1913,Cyprus,CYP,2007,539584,534289,1073873
1914,Czechia,CZE,2007,5040642,5258186,10298828
1915,Denmark,DNK,2007,2705030,2756409,5461438
1916,Djibouti,DJI,2007,430661,434536,865196
1917,Dominica,DMA,2007,34630,34145,68775
1918,Dominican Republic,DOM,2007,4763782,4638424,9402206
1919,Ecuador,ECU,2007,7133070,7118765,14251835
1920,"Egypt, Arab Rep.",EGY,2007,41650626,40568130,82218755
1921,El Salvador,SLV,2007,2890138,3153993,6044131
1922,Equatorial Guinea,GNQ,2007,491133,457682,948814
1923,Eritrea,ERI,2007,1436133,1490034,2926168
1924,Estonia,EST,2007,623190,717490,1340680
1925,Eswatini,SWZ,2007,521420,562588,1084008
1926,Ethiopia,ETH,2007,41263931,40732253,81996185
1927,Faroe Islands,FRO,2007,25109,23253,48361
1928,Fiji,FJI,2007,454459,436189,890648
1929,Finland,FIN,2007,2590275,2698445,5288720
1930,France,FRA,2007,31008324,33013412,64021737
1931,French Polynesia,PYF,2007,142844,135333,278178
1932,Gabon,GAB,2007,779034,770739,1549774
1933,"Gambia, The",GMB,2007,871338,893545,1764883
1934,Georgia,GEO,2007,1804474,2055684,3860158
1935,Germany,DEU,2007,40116978,42149394,82266372
1936,Ghana,GHA,2007,11801766,11906554,23708320
1937,Gibraltar,GIB,2007,14954,15043,29996
1938,Greece,GRC,2007,5479882,5568591,11048473
1939,Greenland,GRL,2007,30070,26486,56555
1940,Grenada,GRD,2007,56349,55375,111725
1941,Guam,GUM,2007,83676,81088,164763
1942,Guatemala,GTM,2007,6685344,6791673,13477017
1943,Guinea,GIN,2007,4676528,4870553,9547082
1944,Guinea-Bissau,GNB,2007,709928,740644,1450572
1945,Guyana,GUY,2007,376976,379546,756521
1946,Haiti,HTI,2007,4679659,4741167,9420826
1947,Honduras,HND,2007,4007762,3916700,7924462
1948,"Hong Kong SAR, China",HKG,2007,3297018,3619281,6916300
1949,Hungary,HUN,2007,4774715,5281064,10055780
1950,Iceland,ISL,2007,158725,152841,311566
1951,India,IND,2007,615506279,574185530,1189691809
1952,Indonesia,IDN,2007,118236404,116621886,234858289
1953,"Iran, Islamic Rep.",IRN,2007,36750402,35569016,72319418
1954,Iraq,IRQ,2007,14253474,14407413,28660887
1955,Ireland,IRL,2007,2199761,2199181,4398942
1956,Isle of Man,IMN,2007,40130,40970,81100
1957,Israel,ISR,2007,3548771,3631329,7180100
1958,Italy,ITA,2007,28309208,30129102,58438310
1959,Jamaica,JAM,2007,1338676,1362545,2701221
1960,Japan,JPN,2007,62443045,65557955,128001000
1961,Jordan,JOR,2007,3334553,3138903,6473457
1962,Kazakhstan,KAZ,2007,7357674,8126518,15484192
1963,Kenya,KEN,2007,18903421,19133373,38036793
1964,Kiribati,KIR,2007,49967,52031,101998
1965,"Korea, Dem. People's Rep.",PRK,2007,11895221,12461285,24356506
1966,"Korea, Rep.",KOR,2007,24315489,24368149,48683638
1967,Kosovo,XKX,2007,875298,858106,1733404
1968,Kuwait,KWT,2007,1456556,1050213,2506769
1969,Kyrgyz Republic,KGZ,2007,2572261,2696138,5268400
1970,Lao PDR,LAO,2007,3035128,3006220,6041348
1971,Latvia,LVA,2007,1001767,1198558,2200325
1972,Lebanon,LBN,2007,2383768,2425840,4809608
1973,Lesotho,LSO,2007,970360,1013106,1983465
1974,Liberia,LBR,2007,1793393,1839348,3632740
1975,Libya,LBY,2007,3096581,3000597,6097177
1976,Liechtenstein,LIE,2007,17335,17814,35150
1977,Lithuania,LTU,2007,1486138,1745156,3231294
1978,Luxembourg,LUX,2007,237883,242111,479993
1979,"Macao SAR, China",MAC,2007,247125,268205,515330
1980,Madagascar,MDG,2007,10007782,9917175,19924958
1981,Malawi,MWI,2007,6518572,6976891,13495463
1982,Malaysia,MYS,2007,13912833,13179771,27092604
1983,Maldives,MDV,2007,171583,153543,325126
1984,Mali,MLI,2007,7112186,6968725,14080912
1985,Malta,MLT,2007,201658,205066,406724
1986,Marshall Islands,MHL,2007,27678,26360,54038
1987,Mauritania,MRT,2007,1561878,1591630,3153508
1988,Mauritius,MUS,2007,616830,622800,1239630
1989,Mexico,MEX,2007,53024314,55278659,108302973
1990,"Micronesia, Fed. Sts.",FSM,2007,55253,54279,109532
1991,Moldova,MDA,2007,1363050,1511249,2874299
1992,Monaco,MCO,2007,15518,16305,31823
1993,Mongolia,MNG,2007,1296789,1308854,2605643
1994,Montenegro,MNE,2007,299290,316585,615875
1995,Morocco,MAR,2007,15654951,15577682,31232633
1996,Mozambique,MOZ,2007,10360896,10919618,21280513
1997,Myanmar,MMR,2007,24179492,24266155,48445647
1998,Namibia,NAM,2007,974469,1037023,2011492
1999,Nauru,NRU,2007,5247,5019,10267
2000,Nepal,NPL,2007,13208569,13505086,26713655
2001,Netherlands,NLD,2007,8106729,8274968,16381696
2002,New Caledonia,NCL,2007,120949,118301,239250
2003,New Zealand,NZL,2007,2066607,2157193,4223800
2004,Nicaragua,NIC,2007,2762742,2844711,5607453
2005,Niger,NER,2007,7533650,7364222,14897873
2006,Nigeria,NGA,2007,74620905,73673124,148294028
2007,North Macedonia,MKD,2007,1021926,1021632,2043559
2008,Northern Mariana Islands,MNP,2007,31652,31397,63050
2009,Norway,NOR,2007,2342728,2366424,4709153
2010,Oman,OMN,2007,1497064,1108636,2605700
2011,Pakistan,PAK,2007,93744001,88180519,181924521
2012,Palau,PLW,2007,10358,9008,19366
2013,Panama,PAN,2007,1722008,1709605,3431614
2014,Papua New Guinea,PNG,2007,3606247,3314819,6921066
2015,Paraguay,PRY,2007,2817256,2772888,5590145
2016,Peru,PER,2007,14296701,14303686,28600387
2017,Philippines,PHL,2007,45333001,44228376,89561377
2018,Poland,POL,2007,18476559,19644001,38120560
2019,Portugal,PRT,2007,5062560,5480404,10542964
2020,Puerto Rico,PRI,2007,1815530,1967465,3782995
2021,Qatar,QAT,2007,921361,310533,1231893
2022,Romania,ROU,2007,10115633,10767349,20882982
2023,Russian Federation,RUS,2007,66050853,76754261,142805114
2024,Rwanda,RWA,2007,4594932,4928236,9523168
2025,Samoa,WSM,2007,98209,92269,190478
2026,San Marino,SMR,2007,14899,15473,30372
2027,Sao Tome and Principe,STP,2007,84721,85124,169845
2028,Saudi Arabia,SAU,2007,15083370,11316699,26400068
2029,Senegal,SEN,2007,5689190,5874678,11563869
2030,Serbia,SRB,2007,3554182,3827397,7381579
2031,Seychelles,SYC,2007,43445,41587,85033
2032,Sierra Leone,SLE,2007,2962281,2976883,5939163
2033,Singapore,SGP,2007,2346238,2242360,4588599
2034,Sint Maarten (Dutch part),SXM,2007,16192,17620,33811
2035,Slovak Republic,SVK,2007,2612857,2761765,5374622
2036,Slovenia,SVN,2007,991510,1026612,2018122
2037,Solomon Islands,SLB,2007,259158,245462,504619
2038,Somalia,SOM,2007,5568675,5549417,11118092
2039,South Africa,ZAF,2007,23972107,26023987,49996094
2040,South Sudan,SSD,2007,4134132,4283691,8417823
2041,Spain,ESP,2007,22347342,22879460,45226803
2042,Sri Lanka,LKA,2007,9844210,10234445,20078655
2043,St. Kitts and Nevis,KNA,2007,23215,23800,47015
2044,St. Lucia,LCA,2007,83284,84234,167518
2045,St. Martin (French part),MAF,2007,16645,18241,34887
2046,St. Vincent and the Grenadines,VCT,2007,56681,54143,110824
2047,Sudan,SDN,2007,15624739,15566424,31191163
2048,Suriname,SUR,2007,265833,262113,527946
2049,Sweden,SWE,2007,4543220,4604872,9148092
2050,Switzerland,CHE,2007,3705120,3845997,7551117
2051,Syrian Arab Republic,SYR,2007,10455630,10247376,20703005
2052,Tajikistan,TJK,2007,3569645,3618745,7188391
2053,Tanzania,TZA,2007,20570092,21146405,41716497
2054,Thailand,THA,2007,32849413,33977340,66826754
2055,Timor-Leste,TLS,2007,522558,496805,1019362
2056,Togo,TGO,2007,3022581,3024956,6047537
2057,Tonga,TON,2007,54053,52584,106638
2058,Trinidad and Tobago,TTO,2007,684258,700602,1384861
2059,Tunisia,TUN,2007,5274830,5305565,10580395
2060,Turkiye,TUR,2007,35249438,34908674,70158112
2061,Turkmenistan,TKM,2007,2478447,2546448,5024894
2062,Turks and Caicos Islands,TCA,2007,13382,12886,26268
2063,Tuvalu,TUV,2007,5143,5006,10149
2064,Uganda,UGA,2007,14555146,15074658,29629804
2065,Ukraine,UKR,2007,21443946,25065410,46509355
2066,United Arab Emirates,ARE,2007,4181088,1691536,5872624
2067,United Kingdom,GBR,2007,30029168,31293296,61322463
2068,United States,USA,2007,148402076,152829130,301231207
2069,Uruguay,URY,2007,1604827,1723823,3328651
2070,Uzbekistan,UZB,2007,13414449,13453551,26868000
2071,Vanuatu,VUT,2007,115641,112704,228345
2072,"Venezuela, RB",VEN,2007,13754221,13770877,27525097
2073,Viet Nam,VNM,2007,41680018,43082251,84762269
2074,Virgin Islands (U.S.),VIR,2007,51869,56467,108337
2075,West Bank and Gaza,PSE,2007,1745418,1749079,3494496
2076,"Yemen, Rep.",YEM,2007,11446120,11195418,22641538
2077,Zambia,ZMB,2007,6050324,6351748,12402073
2078,Zimbabwe,ZWE,2007,5872489,6578079,12450568
2079,Africa Eastern and Southern,AFE,2007,237971119,244435307,482406426
2080,Africa Western and Central,AFW,2007,164131785,163481052,327612838
2081,Arab World,ARB,2007,173897535,163600694,337498222
2082,Caribbean small states,CSS,2007,3410872,3473831,6884705
2083,Central Europe and the Baltics,CEB,2007,50833704,54545043,105378748
2084,Early-demographic dividend,EAR,2007,1433168606,1380622188,2813790790
2085,East Asia & Pacific,EAS,2007,1096077320,1068077970,2164155292
2086,East Asia & Pacific (excluding high income),EAP,2007,978851132,947455336,1926306467
2087,East Asia & Pacific (IDA & IBRD countries),TEA,2007,966961158,934999070,1901960228
2088,Euro area,EMU,2007,162154742,170506094,332660837
